;paintings detected in room;paintings correct RGB;paintings correct SIFT;average time RGB;average time SIFT
Zaal_A;7;6;7;0,10;0,104685715
Zaal_B;7;5;7;0,10;0,082186392
Zaal_C;0;0;0;0,00;0
Zaal_D;13;13;13;0,10;0,082320635
Zaal_E;11;11;11;0,10;0,093901309
Zaal_F;5;5;4;0,10;0,095595884
Zaal_G;8;8;8;0,10;0,099875718
Zaal_H;3;3;3;0,10;0,102619727
Zaal_I;1;0;1;0,10;0,169201136
Zaal_J;5;5;5;0,10;0,069661522
Zaal_K;5;4;5;0,10;0,068049479
Zaal_L;3;3;2;0,10;0,10970664
Zaal_M;14;14;14;0,10;0,069139923
Zaal_N;3;3;3;0,11;0,114006996
zaal_1;8;8;8;0,09;0,102670342
zaal_10;7;7;6;0,11;0,097471203
zaal_11;6;6;6;0,09;0,088302573
zaal_12;2;2;0;0,09;0,092491984
zaal_13;13;13;13;0,09;0,089512165
zaal_14;3;3;2;0,10;0,103176753
zaal_15;35;35;32;0,09;0,073094995
zaal_16;1;1;1;0,09;0,15363121
zaal_17;8;8;7;0,09;0,081984401
zaal_18;13;13;13;0,10;0,110279248
zaal_19;75;75;61;0,09;0,074016536
zaal_2;14;14;11;0,09;0,092910085
zaal_5;6;6;5;0,09;0,111859759
zaal_6;7;7;7;0,09;0,097316265
zaal_7;10;10;9;0,09;0,10899806
zaal_8;9;9;9;0,09;0,11031066
zaal_9;4;4;4;0,09;0,086519003
zaal_II;2;2;2;0,09;0,078518867
zaal_O;0;0;0;0,00;0
zaal_P;11;11;11;0,09;0,079305584
zaal_Q;1;1;1;0,09;0,087977171
zaal_R;7;7;7;0,09;0,116555691
zaal_S;56;56;50;0,09;0,071315595
zaal_V;15;15;14;0,10;0,121086899
;398;393;362;0,09058369798;0,091848845
